time-malawi,bc-blue,bc-ir,aae-blue-ir
15:10:41,1547,1183,1.437950022
15:10:51,1032,1507,0.406544784
15:11:01,917,159,3.803965338
15:11:11,1349,1623,0.715398217
15:11:21,917,1804,-0.068641921
15:11:31,1387,1322,1.086753633
15:11:41,1128,741,1.680200394
15:11:51,798,1201,0.358426973
15:12:01,886,1489,0.182496241
15:12:11,1496,846,1.919091608
15:12:21,1685,760,2.279703056
15:12:31,562,1771,-0.819840363
15:12:41,1319,645,2.150836724
15:12:51,1158,2288,-0.075544888
15:13:01,1305,335,3.178355914
15:13:11,1105,1835,0.201539833
15:13:21,1217,630,2.060027505
15:13:31,1626,1528,1.109339992
15:13:41,834,1048,0.646052714
15:13:51,1214,679,1.936668513
15:14:01,1085,2391,-0.249572127
15:14:11,775,1227,0.277648813
15:14:21,2136,719,2.746271082
15:14:31,789,851,0.889615026
15:14:41,1365,1606,0.7509864
15:14:51,972,2056,-0.184249129
15:15:01,1157,444,2.537294788
15:15:11,1204,771,1.720882608
15:15:21,1172,1496,0.62105591
15:15:31,1420,743,2.04295424
15:15:41,687,1941,-0.645772483
15:15:51,893,-339,#NUM!
15:16:01,1276,1465,0.789997162
15:16:11,741,1649,-0.265184633
15:16:21,1121,778,1.592585833
15:16:31,1157,1108,1.079222349
15:16:41,598,767,0.613382215
15:16:51,1172,736,1.752006547
15:17:01,769,595,1.419240481
15:17:11,1681,1458,1.237148154
15:17:21,687,1698,-0.432515919
15:17:31,1251,725,1.880022149
15:17:41,313,1037,-0.899698608
15:17:51,1500,473,2.850380265
15:18:01,805,862,0.901147136
15:18:11,1212,1189,1.040773681
15:18:21,786,814,0.954415621
15:18:31,918,1054,0.789956854
15:18:41,425,266,1.757357419
15:18:51,1125,1414,0.645679511
15:19:01,1235,2199,0.090357125
15:19:11,1094,-193,#NUM!
15:19:21,519,1757,-0.934098415
15:19:31,773,543,1.573325026
15:19:41,793,1096,0.494274301
15:19:51,688,453,1.676526711
15:20:01,627,79,4.313054799
15:20:11,987,2240,-0.296494815
15:20:21,867,1036,0.726286901
